year,main_genre,Streams
2013.0,Pop,77948090355
2013.0,Rock,28553765038
2013.0,Hip-Hop/Rap,24593496194
2013.0,World/Traditional,13734396673
2013.0,Electronic/Dance,8889481746
2014.0,Pop,102030261016
2014.0,Hip-Hop/Rap,19445781279
2014.0,Rock,16617398096
2014.0,World/Traditional,14217453312
2014.0,Electronic/Dance,14122238294
2015.0,Pop,101646595750
2015.0,Hip-Hop/Rap,55985826438
2015.0,Rock,26316550313
2015.0,Electronic/Dance,22678682753
2015.0,R&B/Soul,16108651077
2016.0,Pop,118176234295
2016.0,Hip-Hop/Rap,81853690197
2016.0,World/Traditional,25869880936
2016.0,R&B/Soul,20978489017
2016.0,Electronic/Dance,18901731137
2017.0,Pop,188651558234
2017.0,Hip-Hop/Rap,108059733006
2017.0,World/Traditional,31558383782
2017.0,Electronic/Dance,26193711146
2017.0,Rock,16493683160
2018.0,Pop,153095894611
2018.0,Hip-Hop/Rap,151545715715
2018.0,World/Traditional,39038261660
2018.0,Electronic/Dance,22902781142
2018.0,Rock,14603758202
2019.0,Pop,165288161290
2019.0,Hip-Hop/Rap,99727750361
2019.0,World/Traditional,47808496782
2019.0,Electronic/Dance,20185795380
2019.0,R&B/Soul,16120241009
2020.0,Pop,128088215149
2020.0,Hip-Hop/Rap,98994717250
2020.0,World/Traditional,54112236866
2020.0,R&B/Soul,20932461776
2020.0,Electronic/Dance,14242899530
2021.0,Pop,121915551018
2021.0,Hip-Hop/Rap,76926699230
2021.0,World/Traditional,42771125184
2021.0,Electronic/Dance,12707610372
2021.0,Rock,9614480528
2022.0,Pop,102153388042
2022.0,World/Traditional,59441802957
2022.0,Hip-Hop/Rap,59099837479
2022.0,Electronic/Dance,12723473660
2022.0,R&B/Soul,8446540975
2023.0,Pop,71552863262
2023.0,World/Traditional,62209290454
2023.0,Hip-Hop/Rap,36381777286
2023.0,Electronic/Dance,8608683711
2023.0,R&B/Soul,6538237034
